Allow,TCP,192.168.90.118/24,21,161.246.34.21/16,21
Allow,TCP,192.168.90.204/24,21,161.246.34.21/16,21
Allow,TCP,192.168.90.9/24,80,161.246.34.11/16,80
Allow,TCP,192.168.70.106/24,21,161.246.34.21/16,21
Allow,TCP,192.168.90.145/24,21,161.246.34.21/16,21
Allow,TCP,192.168.70.18/24,80,161.246.34.11/16,80
Allow,TCP,192.168.90.105/24,21,161.246.34.21/16,21
Allow,TCP,10.10.80.20/24,80,161.246.34.11/16,80
Deny,TCP,10.10.90.176/24,21,161.246.34.21/16,21
Allow,TCP,192.168.80.26/24,21,161.246.34.21/16,21
Allow,TCP,10.10.80.49/24,80,161.246.34.11/16,80
Allow,TCP,192.168.80.23/24,80,161.246.34.11/16,80
Deny,TCP,10.10.80.224/24,21,161.246.34.21/16,21
Allow,TCP,192.168.70.170/24,80,161.246.34.11/16,80
Allow,TCP,192.168.90.63/24,21,161.246.34.21/16,21
Allow,TCP,192.168.90.197/24,21,161.246.34.21/16,21
Allow,TCP,192.168.80.229/24,21,161.246.34.21/16,21
Allow,TCP,10.10.90.204/24,80,161.246.34.11/16,80
Allow,TCP,10.10.90.217/24,80,161.246.34.11/16,80
Allow,TCP,192.168.80.253/24,80,161.246.34.11/16,80
Deny,TCP,10.10.80.190/24,21,161.246.34.21/16,21
Deny,TCP,10.10.90.59/24,21,161.246.34.21/16,21
Deny,TCP,10.10.80.139/24,21,161.246.34.21/16,21
Allow,TCP,192.168.90.117/24,21,161.246.34.21/16,21
Allow,TCP,192.168.70.73/24,80,161.246.34.11/16,80
Allow,TCP,192.168.80.54/24,80,161.246.34.11/16,80
Allow,TCP,192.168.80.119/24,80,161.246.34.11/16,80
Allow,TCP,10.10.80.87/24,80,161.246.34.11/16,80
Allow,TCP,192.168.80.127/24,21,161.246.34.21/16,21
Allow,TCP,192.168.70.121/24,21,161.246.34.21/16,21
Allow,TCP,192.168.70.87/24,21,161.246.34.21/16,21
Allow,TCP,10.10.80.33/24,80,161.246.34.11/16,80
Allow,TCP,10.10.90.49/24,80,161.246.34.11/16,80
Allow,TCP,192.168.80.138/24,21,161.246.34.21/16,21
Allow,TCP,10.10.80.194/24,80,161.246.34.11/16,80
Deny,TCP,10.10.90.255/24,21,161.246.34.21/16,21
Allow,TCP,10.10.90.46/24,80,161.246.34.11/16,80
Deny,TCP,10.10.80.3/24,21,161.246.34.21/16,21
Allow,TCP,192.168.70.156/24,80,161.246.34.11/16,80
Allow,TCP,192.168.90.113/24,21,161.246.34.21/16,21
Allow,TCP,192.168.80.231/24,21,161.246.34.21/16,21
Deny,TCP,10.10.80.171/24,21,161.246.34.21/16,21
Allow,TCP,10.10.90.199/24,80,161.246.34.11/16,80
Allow,TCP,192.168.80.46/24,80,161.246.34.11/16,80
Allow,TCP,192.168.70.102/24,80,161.246.34.11/16,80
Allow,TCP,192.168.70.252/24,21,161.246.34.21/16,21
Deny,TCP,10.10.90.214/24,21,161.246.34.21/16,21
Allow,TCP,192.168.70.116/24,21,161.246.34.21/16,21
Deny,TCP,10.10.80.140/24,21,161.246.34.21/16,21
Allow,TCP,192.168.90.243/24,21,161.246.34.21/16,21
Allow,TCP,192.168.90.228/24,80,161.246.34.11/16,80
Allow,TCP,192.168.70.69/24,80,161.246.34.11/16,80
Allow,TCP,192.168.90.200/24,21,161.246.34.21/16,21
Allow,TCP,10.10.80.162/24,80,161.246.34.11/16,80
Deny,TCP,10.10.90.32/24,21,161.246.34.21/16,21
Allow,TCP,192.168.80.207/24,21,161.246.34.21/16,21
Allow,TCP,192.168.70.244/24,80,161.246.34.11/16,80
Allow,TCP,192.168.70.242/24,21,161.246.34.21/16,21
Deny,TCP,10.10.80.116/24,21,161.246.34.21/16,21
Allow,TCP,192.168.80.9/24,80,161.246.34.11/16,80
Allow,TCP,192.168.90.165/24,80,161.246.34.11/16,80
Allow,TCP,10.10.90.105/24,80,161.246.34.11/16,80
Allow,TCP,10.10.90.145/24,80,161.246.34.11/16,80
Allow,TCP,192.168.90.194/24,21,161.246.34.21/16,21
Allow,TCP,10.10.80.142/24,80,161.246.34.11/16,80
Allow,TCP,192.168.90.29/24,80,161.246.34.11/16,80
Allow,TCP,192.168.90.8/24,80,161.246.34.11/16,80
Allow,TCP,192.168.90.178/24,80,161.246.34.11/16,80
Allow,TCP,10.10.80.169/24,80,161.246.34.11/16,80
Allow,TCP,192.168.80.236/24,21,161.246.34.21/16,21
Allow,TCP,192.168.70.68/24,21,161.246.34.21/16,21
Allow,TCP,192.168.80.0/24,21,161.246.34.21/16,21
Allow,TCP,192.168.90.158/24,21,161.246.34.21/16,21
Allow,TCP,10.10.80.231/24,80,161.246.34.11/16,80
Allow,TCP,192.168.70.77/24,80,161.246.34.11/16,80
Allow,TCP,192.168.90.123/24,80,161.246.34.11/16,80
